,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
3269,1710281170,206376392,2024-03-28 07:45:23,,0 days 02:28:31,2024-03-28 10:13:54,,8911,3269
1461,274514795,273761491,2024-03-28 07:45:24,,0 days 02:04:57,2024-03-28 09:50:21,,7497,1461
2788,261737329,278074495,2024-03-28 07:45:24,,0 days 02:19:10,2024-03-28 10:04:34,,8350,2788
3637,2397334313,1276996684,2024-03-28 07:45:24,,0 days 02:52:28,2024-03-28 10:37:52,,10348,3637
3904,2486206084,262504276,2024-03-28 07:45:25,,0 days 01:56:03,2024-03-28 09:41:28,,6963,3904
210,3830945445,1751465807,2024-03-28 07:45:25,,0 days 02:36:14,2024-03-28 10:21:39,,9374,210
2430,2958861357,207516230,2024-03-28 07:45:25,,0 days 02:03:04,2024-03-28 09:48:29,,7384,2430
2322,232714779,2990717344,2024-03-28 07:45:25,,0 days 03:30:06,2024-03-28 11:15:31,,12606,2322
2468,3830945443,316800847,2024-03-28 07:45:26,,0 days 03:03:18,2024-03-28 10:48:44,,10998,2468
3017,2397334315,243784004,2024-03-28 07:45:26,,0 days 03:02:39,2024-03-28 10:48:05,,10959,3017
1037,264718166,281478097,2024-03-28 07:45:27,,0 days 02:08:37,2024-03-28 09:54:04,,7717,1037
3587,261737332,2419367450,2024-03-28 07:45:27,,0 days 01:55:30,2024-03-28 09:40:57,,6930,3587
242,2397334313,245421628,2024-03-28 07:45:28,,0 days 02:25:26,2024-03-28 10:10:54,,8726,242
3786,1710281170,1747235690,2024-03-28 07:45:28,,0 days 02:11:18,2024-03-28 09:56:46,,7878,3786
3781,261737332,290029077,2024-03-28 07:45:28,,0 days 02:34:37,2024-03-28 10:20:05,,9277,3781
413,10899324851,1747228802,2024-03-28 07:45:28,,0 days 02:37:46,2024-03-28 10:23:14,,9466,413
3088,232716424,5256488112,2024-03-28 07:45:28,,0 days 02:41:42,2024-03-28 10:27:10,,9702,3088
2579,2397334313,5377964785,2024-03-28 07:45:29,,0 days 02:30:01,2024-03-28 10:15:30,,9001,2579
698,3830945445,278217719,2024-03-28 07:45:29,,0 days 02:27:03,2024-03-28 10:12:32,,8823,698
640,10899324852,1288836863,2024-03-28 07:45:29,,0 days 02:52:29,2024-03-28 10:37:58,,10349,640
1334,1710281170,9427888488,2024-03-28 07:45:29,,0 days 02:24:11,2024-03-28 10:09:40,,8651,1334
2417,2486206084,280888775,2024-03-28 07:45:29,,0 days 02:14:16,2024-03-28 09:59:45,,8056,2417
1736,2486206084,355588621,2024-03-28 07:45:30,,0 days 03:18:23,2024-03-28 11:03:53,,11903,1736
3569,933716693,10136183551,2024-03-28 07:45:30,,0 days 02:23:43,2024-03-28 10:09:13,,8623,3569
3224,2486206084,316819541,2024-03-28 07:45:31,,0 days 03:00:06,2024-03-28 10:45:37,,10806,3224
325,933717560,322230278,2024-03-28 07:45:32,,0 days 02:25:21,2024-03-28 10:10:53,,8721,325
1541,274514735,272496156,2024-03-28 07:45:32,,0 days 03:08:12,2024-03-28 10:53:44,,11292,1541
1915,232714779,280888488,2024-03-28 07:45:33,,0 days 02:13:38,2024-03-28 09:59:11,,8018,1915
2331,232716009,1569984896,2024-03-28 07:45:34,,0 days 02:46:52,2024-03-28 10:32:26,,10012,2331
3189,51975594,278217721,2024-03-28 07:45:34,,0 days 02:16:39,2024-03-28 10:02:13,,8199,3189
1686,264718166,975252801,2024-03-28 07:45:36,,0 days 02:37:33,2024-03-28 10:23:09,,9453,1686
1456,261737332,798566730,2024-03-28 07:45:36,,0 days 02:19:41,2024-03-28 10:05:17,,8381,1456
3375,2397235539,341958102,2024-03-28 07:45:36,,0 days 02:25:19,2024-03-28 10:10:55,,8719,3375
430,2958861354,272306201,2024-03-28 07:45:37,,0 days 02:36:34,2024-03-28 10:22:11,,9394,430
3730,2486206084,288604040,2024-03-28 07:45:37,,0 days 01:58:49,2024-03-28 09:44:26,,7129,3730
3181,4177942535,289007771,2024-03-28 07:45:37,,0 days 01:02:38,2024-03-28 08:48:15,,3758,3181
1755,933717548,3885154971,2024-03-28 07:45:37,,0 days 02:27:48,2024-03-28 10:13:25,,8868,1755
2396,10899324852,272798873,2024-03-28 07:45:39,,0 days 01:58:15,2024-03-28 09:43:54,,7095,2396
254,1710281170,5149109595,2024-03-28 07:45:39,,0 days 02:01:46,2024-03-28 09:47:25,,7306,254
2168,261737332,2986880603,2024-03-28 07:45:40,,0 days 02:16:48,2024-03-28 10:02:28,,8208,2168
3338,261737332,1077729801,2024-03-28 07:45:40,,0 days 03:34:14,2024-03-28 11:19:54,,12854,3338
3126,2486206084,288147296,2024-03-28 07:45:41,,0 days 02:37:26,2024-03-28 10:23:07,,9446,3126
3474,261737332,288604040,2024-03-28 07:45:42,,0 days 02:00:45,2024-03-28 09:46:27,,7245,3474
2280,2486206084,251767743,2024-03-28 07:45:44,,0 days 02:13:16,2024-03-28 09:59:00,,7996,2280
3906,261737329,936940746,2024-03-28 07:45:44,,0 days 03:09:58,2024-03-28 10:55:42,,11398,3906
3361,274514735,5377964784,2024-03-28 07:45:44,,0 days 02:28:05,2024-03-28 10:13:49,,8885,3361
2327,264718156,322230278,2024-03-28 07:45:45,,0 days 02:33:50,2024-03-28 10:19:35,,9230,2327
1749,2397235539,275424728,2024-03-28 07:45:45,,0 days 02:23:14,2024-03-28 10:08:59,,8594,1749
2599,2397334313,5559835124,2024-03-28 07:45:46,,0 days 02:12:51,2024-03-28 09:58:37,,7971,2599
2390,2397235538,1747228797,2024-03-28 07:45:46,,0 days 02:23:16,2024-03-28 10:09:02,,8596,2390
1848,51975594,9427888488,2024-03-28 07:45:47,,0 days 02:28:14,2024-03-28 10:14:01,,8894,1848
1743,51975594,470209431,2024-03-28 07:45:47,,0 days 02:14:46,2024-03-28 10:00:33,,8086,1743
1330,2397334313,232663766,2024-03-28 07:45:47,,0 days 01:38:15,2024-03-28 09:24:02,,5895,1330
743,933717548,1505755479,2024-03-28 07:45:48,,0 days 02:51:24,2024-03-28 10:37:12,,10284,743
2674,880233018,278192364,2024-03-28 07:45:48,,0 days 02:13:35,2024-03-28 09:59:23,,8015,2674
689,933716690,355571341,2024-03-28 07:45:48,,0 days 02:54:55,2024-03-28 10:40:43,,10495,689
2068,232716009,290114399,2024-03-28 07:45:48,,0 days 03:26:59,2024-03-28 11:12:47,,12419,2068
2858,232712034,207476206,2024-03-28 07:45:49,,0 days 02:29:03,2024-03-28 10:14:52,,8943,2858
3776,274514735,236137584,2024-03-28 07:45:50,,0 days 02:21:27,2024-03-28 10:07:17,,8487,3776
1995,274514735,31349982,2024-03-28 07:45:51,,0 days 02:12:03,2024-03-28 09:57:54,,7923,1995
2262,51975594,932454896,2024-03-28 07:45:51,,0 days 02:11:54,2024-03-28 09:57:45,,7914,2262
3212,4995755390,207515015,2024-03-28 07:45:51,,0 days 02:11:56,2024-03-28 09:57:47,,7916,3212
1445,2397235538,10199813031,2024-03-28 07:45:51,,0 days 02:18:10,2024-03-28 10:04:01,,8290,1445
2932,4177942535,275863978,2024-03-28 07:45:51,,0 days 03:21:15,2024-03-28 11:07:06,,12075,2932
2402,264718159,285903158,2024-03-28 07:45:52,,0 days 01:32:32,2024-03-28 09:18:24,,5552,2402
1710,232714779,1276996684,2024-03-28 07:45:52,,0 days 02:46:46,2024-03-28 10:32:38,,10006,1710
3636,3830945445,251689478,2024-03-28 07:45:52,,0 days 01:57:14,2024-03-28 09:43:06,,7034,3636
2218,2397334313,278198320,2024-03-28 07:45:53,,0 days 02:24:15,2024-03-28 10:10:08,,8655,2218
1980,3830945443,251767765,2024-03-28 07:45:53,,0 days 02:27:02,2024-03-28 10:12:55,,8822,1980
2081,2397334315,2260752489,2024-03-28 07:45:54,,0 days 02:59:24,2024-03-28 10:45:18,,10764,2081
2149,3830945443,2958986040,2024-03-28 07:45:54,,0 days 02:36:52,2024-03-28 10:22:46,,9412,2149
1883,2486206084,254349500,2024-03-28 07:45:55,,0 days 01:30:29,2024-03-28 09:16:24,,5429,1883
1248,2486206084,316800852,2024-03-28 07:45:55,,0 days 02:43:20,2024-03-28 10:29:15,,9800,1248
203,2486206084,1288836863,2024-03-28 07:45:56,,0 days 02:36:44,2024-03-28 10:22:40,,9404,203
3498,2486206084,207519415,2024-03-28 07:45:56,,0 days 02:05:20,2024-03-28 09:51:16,,7520,3498
3509,51975594,278198323,2024-03-28 07:45:56,,0 days 02:14:43,2024-03-28 10:00:39,,8083,3509
1225,274514795,278069364,2024-03-28 07:45:57,,0 days 02:39:45,2024-03-28 10:25:42,,9585,1225
2765,51974802,275424728,2024-03-28 07:45:58,,0 days 02:27:53,2024-03-28 10:13:51,,8873,2765
2034,2958861357,1351117871,2024-03-28 07:45:58,,0 days 03:25:49,2024-03-28 11:11:47,,12349,2034
2643,264718166,9445396410,2024-03-28 07:45:59,,0 days 02:23:22,2024-03-28 10:09:21,,8602,2643
1669,2486206084,288604089,2024-03-28 07:46:00,,0 days 02:03:50,2024-03-28 09:49:50,,7430,1669
1603,274514735,3885154971,2024-03-28 07:46:00,,0 days 02:27:40,2024-03-28 10:13:40,,8860,1603
3272,264718156,272482359,2024-03-28 07:46:00,,0 days 02:37:31,2024-03-28 10:23:31,,9451,3272
2572,274514735,880670971,2024-03-28 07:46:00,,0 days 02:31:40,2024-03-28 10:17:40,,9100,2572
2978,2958861357,207515015,2024-03-28 07:46:01,,0 days 02:08:39,2024-03-28 09:54:40,,7719,2978
330,261737332,278194694,2024-03-28 07:46:01,,0 days 02:26:56,2024-03-28 10:12:57,,8816,330
3627,274514795,262201254,2024-03-28 07:46:02,,0 days 01:41:54,2024-03-28 09:27:56,,6114,3627
1449,1710281170,288615480,2024-03-28 07:46:03,,0 days 02:37:32,2024-03-28 10:23:35,,9452,1449
2797,2958861354,288604068,2024-03-28 07:46:03,,0 days 02:07:05,2024-03-28 09:53:08,,7625,2797
27,51975594,3625935661,2024-03-28 07:46:03,,0 days 02:11:11,2024-03-28 09:57:14,,7871,27
1008,933717560,3885154971,2024-03-28 07:46:04,,0 days 02:24:44,2024-03-28 10:10:48,,8684,1008
3819,2397235539,1919370794,2024-03-28 07:46:04,,0 days 01:55:04,2024-03-28 09:41:08,,6904,3819
3,1710281170,31349957,2024-03-28 07:46:05,,0 days 01:41:44,2024-03-28 09:27:49,,6104,3
3091,2958861354,272303090,2024-03-28 07:46:05,,0 days 02:35:15,2024-03-28 10:21:20,,9315,3091
2935,232716424,316293947,2024-03-28 07:46:05,,0 days 02:21:41,2024-03-28 10:07:46,,8501,2935
2409,261737332,281478097,2024-03-28 07:46:06,,0 days 02:13:17,2024-03-28 09:59:23,,7997,2409
3577,2397334313,278186350,2024-03-28 07:46:07,,0 days 02:06:42,2024-03-28 09:52:49,,7602,3577
940,274514795,206371910,2024-03-28 07:46:07,,0 days 02:15:44,2024-03-28 10:01:51,,8144,940
3009,3830945445,278192367,2024-03-28 07:46:07,,0 days 02:18:30,2024-03-28 10:04:37,,8310,3009
705,51975594,10199813031,2024-03-28 07:46:07,,0 days 02:16:02,2024-03-28 10:02:09,,8162,705
1345,32067567,272303105,2024-03-28 07:46:07,,0 days 02:36:29,2024-03-28 10:22:36,,9389,1345
3011,2486206084,2454035713,2024-03-28 07:46:08,,0 days 02:38:15,2024-03-28 10:24:23,,9495,3011
3368,51975594,9484792806,2024-03-28 07:46:10,,0 days 02:01:02,2024-03-28 09:47:12,,7262,3368
2106,1710281170,269852140,2024-03-28 07:46:11,,0 days 02:17:59,2024-03-28 10:04:10,,8279,2106
2012,933717548,1332371844,2024-03-28 07:46:12,,0 days 02:51:29,2024-03-28 10:37:41,,10289,2012
1785,232716424,277498879,2024-03-28 07:46:13,,0 days 02:15:08,2024-03-28 10:01:21,,8108,1785
3456,2397235538,288604077,2024-03-28 07:46:13,,0 days 02:03:25,2024-03-28 09:49:38,,7405,3456
376,264718170,8530342300,2024-03-28 07:46:13,,0 days 02:36:51,2024-03-28 10:23:04,,9411,376
644,51975594,3426617393,2024-03-28 07:46:13,,0 days 02:22:44,2024-03-28 10:08:57,,8564,644
2994,1710281170,281477852,2024-03-28 07:46:13,,0 days 02:10:10,2024-03-28 09:56:23,,7810,2994
885,2397235539,278213726,2024-03-28 07:46:13,,0 days 02:13:32,2024-03-28 09:59:45,,8012,885
2778,232714779,262206405,2024-03-28 07:46:14,,0 days 01:56:43,2024-03-28 09:42:57,,7003,2778
1381,3830945445,251767754,2024-03-28 07:46:14,,0 days 02:25:05,2024-03-28 10:11:19,,8705,1381
307,933716690,243783948,2024-03-28 07:46:14,,0 days 02:42:51,2024-03-28 10:29:05,,9771,307
595,274514795,2986880603,2024-03-28 07:46:15,,0 days 02:27:33,2024-03-28 10:13:48,,8853,595
2376,261737332,1664172150,2024-03-28 07:46:15,,0 days 02:16:43,2024-03-28 10:02:58,,8203,2376
2739,261737332,1747228804,2024-03-28 07:46:15,,0 days 02:21:39,2024-03-28 10:07:54,,8499,2739
1497,933711285,325632880,2024-03-28 07:46:16,,0 days 02:46:47,2024-03-28 10:33:03,,10007,1497
2803,3830945443,3308660444,2024-03-28 07:46:17,,0 days 02:45:35,2024-03-28 10:31:52,,9935,2803
1688,933716690,1895983593,2024-03-28 07:46:17,,0 days 02:42:10,2024-03-28 10:28:27,,9730,1688
2269,261737332,1751465807,2024-03-28 07:46:17,,0 days 02:25:16,2024-03-28 10:11:33,,8716,2269
3497,51975594,288149509,2024-03-28 07:46:17,,0 days 02:40:25,2024-03-28 10:26:42,,9625,3497
1505,1710281170,1417894661,2024-03-28 07:46:18,,0 days 02:45:30,2024-03-28 10:31:48,,9930,1505
3084,2486206084,992574989,2024-03-28 07:46:18,,0 days 02:46:10,2024-03-28 10:32:28,,9970,3084
1422,261737329,245373861,2024-03-28 07:46:19,,0 days 02:20:18,2024-03-28 10:06:37,,8418,1422
607,2476197748,206375078,2024-03-28 07:46:19,,0 days 02:26:04,2024-03-28 10:12:23,,8764,607
3884,3830945445,975252757,2024-03-28 07:46:20,,0 days 02:50:19,2024-03-28 10:36:39,,10219,3884
1177,10899324852,1199353835,2024-03-28 07:46:21,,0 days 02:44:28,2024-03-28 10:30:49,,9868,1177
352,261737332,251688755,2024-03-28 07:46:22,,0 days 01:39:14,2024-03-28 09:25:36,,5954,352
2695,1710281170,1289597467,2024-03-28 07:46:22,,0 days 02:56:51,2024-03-28 10:43:13,,10611,2695
1791,232714779,321780716,2024-03-28 07:46:23,,0 days 02:17:07,2024-03-28 10:03:30,,8227,1791
2642,232716424,5377964786,2024-03-28 07:46:24,,0 days 02:35:15,2024-03-28 10:21:39,,9315,2642
981,232716009,207516227,2024-03-28 07:46:24,,0 days 02:12:55,2024-03-28 09:59:19,,7975,981
2773,933716693,1747228797,2024-03-28 07:46:25,,0 days 02:31:20,2024-03-28 10:17:45,,9080,2773
3303,261737332,278213725,2024-03-28 07:46:25,,0 days 02:13:33,2024-03-28 09:59:58,,8013,3303
2047,1710281170,226010249,2024-03-28 07:46:25,,0 days 01:33:17,2024-03-28 09:19:42,,5597,2047
1752,2397334313,278213707,2024-03-28 07:46:25,,0 days 02:18:44,2024-03-28 10:05:09,,8324,1752
3427,933710557,277285474,2024-03-28 07:46:25,,0 days 02:56:34,2024-03-28 10:42:59,,10594,3427
1624,933717560,251767906,2024-03-28 07:46:25,,0 days 02:18:57,2024-03-28 10:05:22,,8337,1624
2925,2397235539,283018583,2024-03-28 07:46:26,,0 days 02:24:12,2024-03-28 10:10:38,,8652,2925
1498,880233018,355581846,2024-03-28 07:46:26,,0 days 03:20:36,2024-03-28 11:07:02,,12036,1498
3068,933716485,1425183474,2024-03-28 07:46:26,,0 days 03:25:34,2024-03-28 11:12:00,,12334,3068
3324,1710281170,243783948,2024-03-28 07:46:27,,0 days 02:27:14,2024-03-28 10:13:41,,8834,3324
172,1710281170,316801100,2024-03-28 07:46:27,,0 days 02:47:37,2024-03-28 10:34:04,,10057,172
3060,933717560,4088653630,2024-03-28 07:46:27,,0 days 02:40:19,2024-03-28 10:26:46,,9619,3060
2379,2486206084,1222395408,2024-03-28 07:46:28,,0 days 02:40:06,2024-03-28 10:26:34,,9606,2379
3865,1710281170,9427888488,2024-03-28 07:46:28,,0 days 02:24:11,2024-03-28 10:10:39,,8651,3865
3170,1710281170,2616178230,2024-03-28 07:46:28,,0 days 01:43:03,2024-03-28 09:29:31,,6183,3170
855,3830945445,207469743,2024-03-28 07:46:28,,0 days 02:13:47,2024-03-28 10:00:15,,8027,855
439,232714779,560401386,2024-03-28 07:46:29,,0 days 02:41:29,2024-03-28 10:27:58,,9689,439
3228,2486206084,10702746612,2024-03-28 07:46:29,,0 days 02:17:38,2024-03-28 10:04:07,,8258,3228
2819,232716009,355570811,2024-03-28 07:46:29,,0 days 02:52:00,2024-03-28 10:38:29,,10320,2819
2024,2958861357,1747228804,2024-03-28 07:46:30,,0 days 02:24:29,2024-03-28 10:10:59,,8669,2024
3945,2958861354,278234299,2024-03-28 07:46:30,,0 days 02:04:48,2024-03-28 09:51:18,,7488,3945
1557,51975594,1245993627,2024-03-28 07:46:31,,0 days 02:23:16,2024-03-28 10:09:47,,8596,1557
645,297891999,932454896,2024-03-28 07:46:31,,0 days 02:30:40,2024-03-28 10:17:11,,9040,645
2350,51975594,1505755462,2024-03-28 07:46:33,,0 days 02:45:54,2024-03-28 10:32:27,,9954,2350
762,264718166,272798927,2024-03-28 07:46:35,,0 days 01:55:54,2024-03-28 09:42:29,,6954,762
3065,933717560,11048268612,2024-03-28 07:46:35,,0 days 01:20:28,2024-03-28 09:07:03,,4828,3065
3392,261737332,355580851,2024-03-28 07:46:35,,0 days 03:19:59,2024-03-28 11:06:34,,11999,3392
1512,2486206084,278189887,2024-03-28 07:46:35,,0 days 01:48:55,2024-03-28 09:35:30,,6535,1512
471,880233018,4955501316,2024-03-28 07:46:35,,0 days 02:31:33,2024-03-28 10:18:08,,9093,471
3710,2486206084,272273900,2024-03-28 07:46:36,,0 days 02:31:08,2024-03-28 10:17:44,,9068,3710
243,4995755390,1658892797,2024-03-28 07:46:36,,0 days 02:38:20,2024-03-28 10:24:56,,9500,243
211,933717560,251767751,2024-03-28 07:46:37,,0 days 02:15:00,2024-03-28 10:01:37,,8100,211
3449,1710281170,1222395395,2024-03-28 07:46:37,,0 days 02:28:51,2024-03-28 10:15:28,,8931,3449
2484,261737332,593883608,2024-03-28 07:46:38,,0 days 02:41:10,2024-03-28 10:27:48,,9670,2484
2719,261737332,278192365,2024-03-28 07:46:39,,0 days 02:10:38,2024-03-28 09:57:17,,7838,2719
784,2958861370,279035503,2024-03-28 07:46:39,,0 days 01:52:28,2024-03-28 09:39:07,,6748,784
3847,1710281170,9492725463,2024-03-28 07:46:39,,0 days 03:20:15,2024-03-28 11:06:54,,12015,3847
3667,32067567,278196773,2024-03-28 07:46:40,,0 days 02:20:48,2024-03-28 10:07:28,,8448,3667
1055,2397334313,1245993627,2024-03-28 07:46:40,,0 days 02:32:08,2024-03-28 10:18:48,,9128,1055
1473,10899324851,3154131933,2024-03-28 07:46:40,,0 days 03:01:16,2024-03-28 10:47:56,,10876,1473
1372,2397235539,226019025,2024-03-28 07:46:41,,0 days 01:45:29,2024-03-28 09:32:10,,6329,1372
193,4177942535,32122185,2024-03-28 07:46:41,,0 days 02:35:48,2024-03-28 10:22:29,,9348,193
742,2306398093,2056598005,2024-03-28 07:46:42,,0 days 02:42:34,2024-03-28 10:29:16,,9754,742
1670,1483996919,1207992011,2024-03-28 07:46:43,,0 days 03:01:54,2024-03-28 10:48:37,,10914,1670
2499,2486206084,261708618,2024-03-28 07:46:43,,0 days 02:16:40,2024-03-28 10:03:23,,8200,2499
170,3830945445,206371898,2024-03-28 07:46:44,,0 days 02:10:12,2024-03-28 09:56:56,,7812,170
637,261737332,34805952,2024-03-28 07:46:45,,0 days 02:33:59,2024-03-28 10:20:44,,9239,637
1856,264718156,7641157446,2024-03-28 07:46:45,,0 days 02:44:15,2024-03-28 10:31:00,,9855,1856
3275,2958861370,3089377794,2024-03-28 07:46:46,,0 days 02:17:10,2024-03-28 10:03:56,,8230,3275
2830,264718170,11346008287,2024-03-28 07:46:46,,0 days 03:03:49,2024-03-28 10:50:35,,11029,2830
1947,1710281170,1371310302,2024-03-28 07:46:46,,0 days 02:51:24,2024-03-28 10:38:10,,10284,1947
614,261737332,2420153454,2024-03-28 07:46:46,,0 days 01:49:03,2024-03-28 09:35:49,,6543,614
2708,2397235538,3096294137,2024-03-28 07:46:47,,0 days 03:15:52,2024-03-28 11:02:39,,11752,2708
3836,51975594,322847652,2024-03-28 07:46:47,,0 days 02:19:57,2024-03-28 10:06:44,,8397,3836
1527,261737332,566168712,2024-03-28 07:46:47,,0 days 01:31:55,2024-03-28 09:18:42,,5515,1527
388,232714779,278069357,2024-03-28 07:46:47,,0 days 02:27:46,2024-03-28 10:14:33,,8866,388
2472,232716424,288495800,2024-03-28 07:46:48,,0 days 02:23:48,2024-03-28 10:10:36,,8628,2472
2816,933710557,4205476206,2024-03-28 07:46:48,,0 days 02:11:21,2024-03-28 09:58:09,,7881,2816
3825,2397334313,275657376,2024-03-28 07:46:49,,0 days 03:07:54,2024-03-28 10:54:43,,11274,3825
2480,933717560,251691060,2024-03-28 07:46:49,,0 days 01:59:16,2024-03-28 09:46:05,,7156,2480
1060,261737332,251767765,2024-03-28 07:46:50,,0 days 02:16:49,2024-03-28 10:03:39,,8209,1060
2564,261737332,595751054,2024-03-28 07:46:50,,0 days 02:08:42,2024-03-28 09:55:32,,7722,2564
2703,264718156,296375343,2024-03-28 07:46:52,,0 days 02:27:23,2024-03-28 10:14:15,,8843,2703
3721,32067567,4454780762,2024-03-28 07:46:52,,0 days 02:31:44,2024-03-28 10:18:36,,9104,3721
3048,261737332,964377092,2024-03-28 07:46:53,,0 days 02:06:28,2024-03-28 09:53:21,,7588,3048
